instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES COMPLUTENSE,9.8,4.84,7.89,3.6,6.35
IES ALONSO DE AVELLANEDA,9.8,4.84,7.68,3.6,6.31
IES ANTONIO MACHADO,9.79,4.83,7.61,3.6,6.3
IES FRANCISCO GINER DE LOS RIOS,9.78,4.84,7.56,3.6,6.29
IES DOMENICO SCARLATTI,9.8,4.84,7.74,3.6,6.32
IES JORGE MANRIQUE,9.81,4.84,7.35,3.6,6.27
IES EL CARRASCAL,9.81,4.84,7.76,3.6,6.33
IES JUAN CARLOS I,9.81,4.84,7.73,3.6,6.32
IES MARQUES DE SANTILLANA,9.8,4.84,6.54,3.6,6.14
IES JAIME FERRAN,9.77,4.84,7.78,3.6,6.32
IES MIGUEL CATALÁN,9.8,4.84,7.75,3.6,6.33
IES MATEMATICO PUIG ADAM,9.79,4.84,7.76,3.6,6.32
IES ALARNES,9.79,4.84,7.29,3.6,6.25
IES JOSE DE CHURRIGUERA,9.78,4.84,7.75,3.6,6.32
IES LUIS VIVES,9.79,4.84,7.79,3.6,6.33
IES MARIA ZAMBRANO,9.8,4.84,7.88,3.6,6.34
IES CERVANTES,9.8,4.84,7.43,3.6,6.28
IES EL ESPINILLO,9.81,4.84,7.53,3.6,6.29
IES VALDEBERNARDO,9.82,4.84,6.94,3.6,6.21
IES SANTA TERESA DE JESUS,9.79,4.84,7.79,3.6,6.33
IES SANTAMARCA,9.8,4.84,7.81,3.6,6.33
IES SANTA ENGRACIA,9.8,4.84,7.73,3.6,6.32
IES ORTEGA Y GASSET,9.8,4.84,7.33,3.55,6.24
IES EMILIO CASTELAR,9.7,4.84,7.79,3.6,6.31
IES ARCIPRESTE DE HITA,9.8,4.84,7.79,3.6,6.33
IES SAN CRISTOBAL DE LOS ANGELES,9.8,4.84,7.75,3.6,6.32
IES CARLOS MARIA RODRIGUEZ DE VALCARCEL,9.78,4.84,7.78,3.6,6.32
IES JOAQUÍN TURINA,9.79,4.84,7.66,3.6,6.31
IES EL LAGO,9.79,4.84,7.8,3.6,6.33
IES SAN FERNANDO,9.8,4.84,7.75,3.6,6.32
IES TIRSO DE MOLINA,9.79,4.84,7.53,3.6,6.29
IES LOPE DE VEGA,9.79,4.84,6.65,3.6,6.16
IES BARAJAS,9.79,4.84,7.82,3.6,6.33
IES GREGORIO MARAÑON,9.8,4.84,7.66,3.6,6.31
IES BARRIO SIMANCAS,9.8,4.84,7.65,3.6,6.31
IES VIRGEN DE LA PALOMA,9.8,4.84,7.66,3.6,6.31
IES CONDE DE ORGAZ,9.8,4.84,7.76,3.6,6.33
IES CARLOS III,9.8,4.84,7.73,3.6,6.32
IES SAN BLAS,9.79,4.84,7.8,3.6,6.33
IES GÓMEZ MORENO,9.71,4.84,7.54,3.6,6.27
IES REY PASTOR,9.8,4.84,7.75,3.6,6.32
IES VALLECAS I,9.8,4.84,7.81,3.6,6.33
IES ENRIQUE TIERNO GALVAN,9.75,4.84,7.82,3.6,6.32
IES PIO BAROJA,9.79,4.84,7.61,3.6,6.3
IES PARQUE ALUCHE,9.8,4.84,7.85,3.6,6.34
IES EIJO Y GARAY,9.79,4.84,7.85,3.6,6.34
IES NUESTRA SEÑORA DE LA ALMUDENA,9.81,4.84,7.83,3.6,6.34
IES TETUAN DE LAS VICTORIAS,9.8,4.84,7.76,3.6,6.33
IES CARDENAL HERRERA ORIA,9.79,4.84,7.54,3.6,6.29
IES BEATRIZ GALINDO,9.79,4.84,7.73,3.6,6.32
IES ISABEL LA CATOLICA,9.78,4.84,7.8,3.6,6.33
IES JUAN DE LA CIERVA,9.77,4.84,7.78,3.6,6.32
IES CARDENAL CISNEROS,9.79,4.84,7.65,3.57,6.3
IES SAN ISIDRO,9.78,4.84,6.52,3.6,6.14
IES EMPERATRIZ MARIA DE AUSTRIA,9.79,4.84,7.78,3.6,6.32
IES CALDERON DE LA BARCA,9.79,4.84,7.82,3.6,6.33
IES VISTA ALEGRE,9.79,4.84,7.89,3.6,6.34
IES PACIFICO,9.81,4.84,7.75,3.6,6.33
IES PALOMERAS VALLECAS,9.8,4.84,7.73,3.6,6.32
IES GARCIA MORATO,9.79,4.84,7.56,3.6,6.29
IES GRAN CAPITÁN,9.79,4.84,7.52,3.6,6.29
IES CARMEN MARTIN GAITE,9.79,4.84,7.71,3.6,6.32
IES CIUDAD ESCOLAR,9.78,4.84,7.74,3.6,6.32
IES FELIPE TRIGO,9.8,4.84,7.59,3.55,6.28
IES GERARDO DIEGO,9.79,4.84,7.54,3.6,6.29
IES VEGA DEL JARAMA,9.8,4.84,7.72,3.6,6.32
IES JOAN MIRO,9.79,4.84,7.33,3.6,6.26
IES ISAAC PERAL,9.78,4.84,7.33,3.6,6.26
IES LAS VEREDILLAS,9.79,4.84,7.84,3.6,6.33
IES ALTO JARAMA,9.8,4.84,7.84,3.6,6.34
IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO,9.79,4.84,7.82,3.6,6.33
IES FELIPE II,9.8,4.84,7.8,3.6,6.33
IES VICENTE ALEIXANDRE,9.78,4.84,7.75,3.6,6.32
IES LOS CASTILLOS,9.8,4.84,7.62,3.6,6.31
IES ARQUITECTO PEDRO GUMIEL,9.8,4.84,7.77,3.6,6.33
IES MARIA MOLINER,9.68,4.84,7.85,3.6,6.31
IES DIONISIO AGUADO,9.79,4.84,7.78,3.6,6.33
IES BUTARQUE,9.79,4.84,7.89,3.55,6.32
IES AVENIDA DE LOS TOREROS,9.7,4.84,7.78,3.6,6.3
IES MARIANO JOSE DE LARRA,9.79,4.84,7.83,3.6,6.33
IES LA ESTRELLA,9.8,4.84,7.75,3.6,6.32
IES SAN JUAN BAUTISTA,9.8,4.84,7.77,3.6,6.33
IES JAIME VERA,9.8,4.84,7.85,3.6,6.34
IES MANUEL DE FALLA,9.78,4.84,7.84,3.57,6.32
IES LAS ROZAS I,9.79,4.84,7.53,3.6,6.29
IES GONZALO TORRENTE BALLESTER,9.69,4.84,6.89,3.6,6.17
IES RAMIRO DE MAEZTU,9.8,4.84,7.83,3.6,6.34
IES JUAN DE HERRERA,9.78,4.84,7.77,3.55,6.3
IES FORTUNY,9.8,4.84,7.82,3.6,6.33
IES CIUDAD DE LOS POETAS,9.8,4.84,7.5,3.6,6.29
IES RAMON Y CAJAL,9.74,4.84,7.68,3.6,6.3
IES MIGUEL DELIBES,9.78,4.84,7.85,3.6,6.34
IES CELESTINO MUTIS,9.79,4.84,7.77,3.6,6.32
IES DAMASO ALONSO,9.78,4.84,7.85,3.6,6.33
IES HUMANEJOS,9.59,4.84,7.42,3.55,6.2
IES LEON FELIPE,9.79,4.84,7.68,3.6,6.31
IES PRADO DE SANTO DOMINGO,9.78,4.84,7.71,3.6,6.31
IES ARTURO SORIA,9.68,4.84,7.84,3.6,6.31
IES MATEO ALEMAN,9.8,4.84,7.64,3.6,6.31
IES GALILEO GALILEI,9.8,4.84,7.48,3.6,6.28
IES BLAS DE OTERO,9.79,4.84,7.83,3.6,6.33
IES SAN MATEO,9.78,4.84,7.79,3.6,6.33
IES MARIANA PINEDA,9.79,4.84,7.85,3.6,6.34
IES VALLECAS-MAGERIT,9.8,4.84,7.67,3.6,6.31
IES LAS MUSAS,9.8,4.84,7.79,3.6,6.33
IES LEONARDO DA VINCI,9.79,4.84,7.74,3.6,6.32
IES MORATALAZ,9.79,4.78,7.75,3.6,6.31
IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,9.8,4.84,7.88,3.6,6.35
IES ARQUITECTO PERIDIS,9.8,4.84,7.76,3.6,6.33
IES CIUDAD DE JAEN,9.78,4.84,7.86,3.6,6.34
IES ALAMEDA DE OSUNA,9.12,4.84,7.53,4.5,6.44
IES MANUELA MALASAÑA,9.78,4.84,7.76,3.55,6.3
IES GASPAR MELCHOR DE JOVELLANOS,9.8,4.84,7.79,3.6,6.33
IES SAN ISIDORO DE SEVILLA,9.79,4.84,7.88,3.6,6.34
IES ALONSO QUIJANO,9.79,4.84,7.8,3.6,6.33
IES JOSE LUIS SAMPEDRO,9.78,4.84,7.63,3.6,6.3
IES JUAN DE VILLANUEVA,9.79,4.84,7.87,3.6,6.34
IES LA DEHESILLA,9.77,4.84,7.82,3.6,6.33
IES LA ARBOLEDA,9.79,4.84,7.64,3.6,6.3
IES LA POVEDA,9.8,4.84,7.26,3.6,6.25
IES ANGEL CORELLA,9.78,4.84,7.62,3.6,6.3
IES CIUDAD DE LOS ÁNGELES,9.79,4.84,7.81,3.6,6.33
