fichero,url,performance,best-practices,seo,calificacion
20250330_28000364_IES COMPLUTENSE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.complutense.alcala/,0.62,0.96,0.66,8.0
20250330_28000364_IES COMPLUTENSE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.complutense.alcala,0.55,0.66,0.92,6.97
20250330_28000467_IES ALONSO DE AVELLANEDA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.alonsodeavellan.alcala/,0.51,0.96,0.66,7.72
20250330_28000467_IES ALONSO DE AVELLANEDA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,0.5,0.59,0.92,6.5
20250330_28000522_IES ANTONIO MACHADO_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.machado.alcala/,0.49,0.93,0.66,7.53
20250330_28000522_IES ANTONIO MACHADO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.machado.alcala,0.56,0.76,1,7.7
20250330_28000753_IES FRANCISCO GINER DE LOS RIOS_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.ginerdelosrios.alcobendas/,0.64,0.96,0.58,7.85
20250330_28000753_IES FRANCISCO GINER DE LOS RIOS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,0.54,0.76,0.83,7.23
20250330_28001629_IES DOMENICO SCARLATTI_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.domenicoscarlat.aranjuez/,0.62,0.96,0.66,8.0
20250330_28001629_IES DOMENICO SCARLATTI_url_web_LightHouse.json,http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez,0.55,0.66,1,7.18
20250330_28001678_IES JORGE MANRIQUE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.jorgemanrique.trescantos/,0.58,0.89,0.58,7.35
20250330_28001678_IES JORGE MANRIQUE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.jorgemanrique.trescantos,0.58,0.79,0.92,7.7
20250330_28001769_IES EL CARRASCAL_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.elcarrascal.arganda/,0.52,0.96,0.66,7.75
20250330_28001769_IES EL CARRASCAL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.elcarrascal.arganda,0.56,0.62,0.92,6.8
20250330_28002181_IES JUAN CARLOS I_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.juancarlosprimero.ciempozuelos/,0.51,0.96,0.66,7.72
20250330_28002181_IES JUAN CARLOS I_url_web_LightHouse.json,http://www.educa.madrid.org/ies.juancarlosprimero.ciempozuelos,0.45,0.66,0.92,6.72
20250330_28002312_IES MARQUES DE SANTILLANA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.marquesdesantil.colmenarviejo/,0.63,0.71,0.66,6.78
20250330_28002312_IES MARQUES DE SANTILLANA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.marquesdesantil.colmenarviejo,0.55,0.79,0.92,7.62
20250330_28002415_IES JAIME FERRAN_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.jaimeferran.colladovillalba/,0.57,0.96,0.66,7.88
20250330_28002415_IES JAIME FERRAN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.jaimeferran.colladovillalba,0.94,0.76,0.66,7.8
20250330_28002580_IES MIGUEL CATALÁN_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.miguelcatalan.coslada/,0.59,0.96,0.66,7.92
20250330_28002580_IES MIGUEL CATALÁN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.miguelcatalan.coslada,0.56,0.79,0.92,7.65
20250330_28003201_IES MATEMATICO PUIG ADAM_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.puigadam.getafe/,0.55,0.96,0.66,7.82
20250330_28003201_IES MATEMATICO PUIG ADAM_url_web_LightHouse.json,http://www.educa.madrid.org/ies.puigadam.getafe,0.57,0.76,1,7.72
20250330_28003304_IES ALARNES_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.alarnes.getafe/,0.51,0.96,0.5,7.32
20250330_28003304_IES ALARNES_url_web_LightHouse.json,http://www.educa.madrid.org/ies.alarnes.getafe,0.52,0.62,1,6.9
20250330_28003882_IES JOSE DE CHURRIGUERA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.churriguera.leganes/,0.64,0.96,0.66,8.05
20250330_28003882_IES JOSE DE CHURRIGUERA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.churriguera.leganes,0.32,0.79,0.92,7.05
20250330_28003894_IES LUIS VIVES_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.luisvives.leganes/,0.64,0.96,0.66,8.05
20250330_28003894_IES LUIS VIVES_url_web_LightHouse.json,http://www.educa.madrid.org/ies.luisvives.leganes,0.92,0.76,0.66,7.75
20250330_28003900_IES MARIA ZAMBRANO_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.mariazambrano.leganes/,0.62,0.96,0.66,8.0
20250330_28003900_IES MARIA ZAMBRANO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.mariazambrano.leganes,0.28,0.66,1,6.5
20250330_28004059_IES CERVANTES_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.cervantes.madrid/,0.52,0.93,0.58,7.4
20250330_28004059_IES CERVANTES_url_web_LightHouse.json,http://www.educa.madrid.org/ies.cervantes.madrid,0.47,0.45,0.85,5.55
20250330_28013899_IES EL ESPINILLO _url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.elespinillo.madrid/,0.6,0.96,0.58,7.75
20250330_28013899_IES EL ESPINILLO _url_web_LightHouse.json,http://www.educa.madrid.org/ies.elespinillo.madrid,0.55,0.79,1,7.82
20250330_28015756_IES VALDEBERNARDO_url_aula_LightHouse.json,http://aulavirtual3.educa.madrid.org/ies.valdebernardo.madrid,0.58,0.79,0.66,7.05
20250330_28015756_IES VALDEBERNARDO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.valdebernardo.madrid,0.55,0.62,0.92,6.78
20250330_28018344_IES SANTA TERESA DE JESUS_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.santateresa.madrid/,0.57,0.96,0.66,7.88
20250330_28018344_IES SANTA TERESA DE JESUS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.santateresa.madrid,0.27,0.55,0.77,5.35
20250330_28018356_IES SANTAMARCA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.santamarca.madrid/,0.48,0.96,0.66,7.65
20250330_28018356_IES SANTAMARCA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.santamarca.madrid,0.94,0.76,0.66,7.8
20250330_28018368_IES SANTA ENGRACIA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.santaengracia.madrid/,0.56,0.96,0.66,7.85
20250330_28018368_IES SANTA ENGRACIA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.santaengracia.madrid,0.92,0.76,0.66,7.75
20250330_28018381_IES ORTEGA Y GASSET_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.ortegaygasset.madrid/,0.52,0.96,0.5,7.35
20250330_28018381_IES ORTEGA Y GASSET_url_web_LightHouse.json,http://www.educa.madrid.org/ies.ortegaygasset.madrid,0.52,0.59,0.77,6.17
20250330_28018423_IES INSTITUTO POLITECNICO N.1 DEL EJERCITO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.numerounoejercito.madrid,0.93,0.76,0.66,7.78
20250330_28018435_IES EMILIO CASTELAR_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.emiliocastelar.madrid/,0.61,0.96,0.66,7.97
20250330_28018435_IES EMILIO CASTELAR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.emiliocastelar.madrid,0.56,0.62,0.92,6.8
20250330_28018460_IES ARCIPRESTE DE HITA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.arciprestedehita.madrid/,0.58,0.96,0.66,7.9
20250330_28018460_IES ARCIPRESTE DE HITA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.arciprestedehita.madrid,0.55,0.66,1,7.18
20250330_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.sancristobal.madrid/,0.58,0.96,0.66,7.9
20250330_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_web_LightHouse.json,http://www.educa.madrid.org/ies.sancristobal.madrid,0.34,0.79,1,7.3
20250330_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.rodriguezdevalcarcel.madrid/,0.64,0.96,0.66,8.05
20250330_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.rodriguezdevalcarcel.madrid,0.0,0.0,0.0,0.0
20250330_28018903_IES JOAQUÍN TURINA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.joaquinturina.madrid/,0.57,0.96,0.66,7.88
20250330_28018903_IES JOAQUÍN TURINA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.joaquinturina.madrid,0.58,0.76,1,7.75
20250330_28019312_IES EL LAGO_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.ellago.madrid/,0.64,0.96,0.66,8.05
