instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES COMPLUTENSE,8.91,4.84,6.93,3.6,5.98
IES ALONSO DE AVELLANEDA,8.95,4.84,6.85,0.0,4.72
IES ANTONIO MACHADO,9.39,4.92,6.81,0.05,4.86
IES FRANCISCO GINER DE LOS RIOS,8.97,4.84,6.99,0.0,4.74
IES DOMENICO SCARLATTI,9.11,4.84,7.05,3.6,6.05
IES JORGE MANRIQUE,8.95,4.79,7.57,0.0,4.81
IES EL CARRASCAL,8.84,4.84,6.68,3.39,5.85
IES JUAN CARLOS I,9.19,4.84,6.85,3.6,6.04
IES MARQUES DE SANTILLANA,8.96,4.84,7.43,0.0,4.81
IES JAIME FERRAN,9.83,4.84,7.7,3.6,6.32
IES MIGUEL CATALÁN,9.66,4.84,7.37,2.54,5.86
IES MATEMATICO PUIG ADAM,8.81,4.84,7.64,0.0,4.8
IES ALARNES,9.39,4.84,6.83,3.6,6.08
IES JOSE DE CHURRIGUERA,8.96,4.84,6.99,0.0,4.74
IES LUIS VIVES,9.86,4.84,7.69,3.6,6.33
IES MARIA ZAMBRANO,9.28,4.84,6.64,3.6,6.03
IES CERVANTES,9.59,4.84,5.51,3.6,5.94
IES EL ESPINILLO,8.96,4.84,7.63,0.0,4.83
IES VALDEBERNARDO,9.27,4.84,5.91,3.6,5.92
IES SANTA TERESA DE JESUS,8.68,4.84,5.52,3.6,5.71
IES SANTAMARCA,9.0,4.84,6.66,0.11,4.74
IES SANTA ENGRACIA,9.83,4.84,7.7,3.6,6.32
IES ORTEGA Y GASSET,9.22,4.84,5.93,3.6,5.91
IES INSTITUTO POLITECNICO N.1 DEL EJERCITO,9.86,5.0,7.78,3.6,6.39
IES EMILIO CASTELAR,9.56,4.84,6.63,3.6,6.1
IES ARCIPRESTE DE HITA,9.41,4.84,7.64,4.47,6.52
IES SAN CRISTOBAL DE LOS ANGELES,8.94,4.84,7.24,0.0,4.77
IES CARLOS MARIA RODRIGUEZ DE VALCARCEL,8.6,4.84,7.19,0.0,4.68
IES JOAQUÍN TURINA,8.96,4.84,7.6,0.0,4.83
IES EL LAGO,9.15,4.84,6.23,3.6,5.93
IES SAN FERNANDO,9.83,0.0,0.0,4.5,4.03
IES TIRSO DE MOLINA,8.31,4.84,7.17,0.64,4.83
IES LOPE DE VEGA,9.02,4.84,5.04,3.6,5.72
IES BARAJAS,8.92,4.84,7.74,0.0,4.84
IES GREGORIO MARAÑON,9.07,4.84,6.4,3.6,5.94
IES BARRIO SIMANCAS,8.98,4.84,7.53,0.0,4.83
IES VIRGEN DE LA PALOMA,9.84,4.84,7.58,3.6,6.31
IES CONDE DE ORGAZ,8.98,4.84,7.81,0.0,4.87
IES CARLOS III,8.88,4.84,7.79,0.0,4.84
IES SAN BLAS,9.39,4.84,6.75,3.6,6.07
IES GÓMEZ MORENO,8.92,4.84,7.36,0.0,4.78
IES REY PASTOR,9.21,4.84,6.55,3.6,6.0
IES VALLECAS I,8.99,4.84,8.51,0.0,4.97
