fichero,url,dias_restantes,emisor,algoritmo_firma,algoritmo_clave,longitud_clave,calidad,calificacion
20250216_28000364_IES COMPLUTENSE_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.complutense.alcala/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000364_IES COMPLUTENSE_url_web_Certificado.json,www.educa.madrid.org/ies.complutense.alcala,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000467_IES ALONSO DE AVELLANEDA_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.alonsodeavellan.alcala/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000467_IES ALONSO DE AVELLANEDA_url_web_Certificado.json,www.educa.madrid.org/ies.alonsodeavellan.alcala,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000522_IES ANTONIO MACHADO_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.machado.alcala/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000522_IES ANTONIO MACHADO_url_web_Certificado.json,www.educa.madrid.org/ies.machado.alcala,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000753_IES FRANCISCO GINER DE LOS RIOS_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.ginerdelosrios.alcobendas/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28000753_IES FRANCISCO GINER DE LOS RIOS_url_web_Certificado.json,www.educa.madrid.org/ies.ginerdelosrios.alcobendas,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28001629_IES DOMENICO SCARLATTI_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.domenicoscarlat.aranjuez/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28001629_IES DOMENICO SCARLATTI_url_web_Certificado.json,www.educa.madrid.org/ies.domenicoscarlat.aranjuez,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28001678_IES JORGE MANRIQUE_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.jorgemanrique.trescantos/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28001678_IES JORGE MANRIQUE_url_web_Certificado.json,www.educa.madrid.org/ies.jorgemanrique.trescantos,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
