fichero,url,delta_sg,calificacion
20250203_28000364_IES COMPLUTENSE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.complutense.alcala/,-1.425714,9.52
20250203_28000364_IES COMPLUTENSE_url_web_NTP.json,http://www.educa.madrid.org/ies.complutense.alcala,-0.889546,9.7
20250203_28000467_IES ALONSO DE AVELLANEDA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.alonsodeavellan.alcala/,-1.157338,9.61
20250203_28000467_IES ALONSO DE AVELLANEDA_url_web_NTP.json,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,-0.077984,9.97
20250203_28000522_IES ANTONIO MACHADO_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.machado.alcala/,-1.62657,9.46
20250203_28000522_IES ANTONIO MACHADO_url_web_NTP.json,http://www.educa.madrid.org/ies.machado.alcala,-0.15803,9.95
20250203_28000753_IES FRANCISCO GINER DE LOS RIOS_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.ginerdelosrios.alcobendas/,-1.665824,9.44
20250203_28000753_IES FRANCISCO GINER DE LOS RIOS_url_web_NTP.json,http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,-0.070412,9.98
20250203_28001629_IES DOMENICO SCARLATTI_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.domenicoscarlat.aranjuez/,-1.686129,9.44
20250203_28001629_IES DOMENICO SCARLATTI_url_web_NTP.json,http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez,62.719875,0
20250203_28001678_IES JORGE MANRIQUE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.jorgemanrique.trescantos/,-1.10587,9.63
20250203_28001678_IES JORGE MANRIQUE_url_web_NTP.json,http://www.educa.madrid.org/ies.jorgemanrique.trescantos,-0.914369,9.7
20250203_28001769_IES EL CARRASCAL_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.elcarrascal.arganda/,-1.132539,9.62
20250203_28001769_IES EL CARRASCAL_url_web_NTP.json,http://www.educa.madrid.org/ies.elcarrascal.arganda,0.421172,9.86
20250203_28002181_IES JUAN CARLOS I_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.juancarlosprimero.ciempozuelos/,-1.230494,9.59
20250203_28002181_IES JUAN CARLOS I_url_web_NTP.json,http://www.educa.madrid.org/ies.juancarlosprimero.ciempozuelos,0.526297,9.82
20250203_28002312_IES MARQUES DE SANTILLANA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.marquesdesantil.colmenarviejo/,-1.043405,9.65
20250203_28002312_IES MARQUES DE SANTILLANA_url_web_NTP.json,http://www.educa.madrid.org/ies.marquesdesantil.colmenarviejo,-0.467214,9.84
20250203_28002415_IES JAIME FERRAN_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.jaimeferran.colladovillalba/,-1.423363,9.53
20250203_28002415_IES JAIME FERRAN_url_web_NTP.json,http://www.educa.madrid.org/ies.jaimeferran.colladovillalba,-0.358764,9.88
20250203_28002580_IES MIGUEL CATALÁN_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.miguelcatalan.coslada/,-1.227145,9.59
20250203_28002580_IES MIGUEL CATALÁN_url_web_NTP.json,http://www.educa.madrid.org/ies.miguelcatalan.coslada,-0.775255,9.74
20250203_28003201_IES MATEMATICO PUIG ADAM_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.puigadam.getafe/,-0.975214,9.67
20250203_28003201_IES MATEMATICO PUIG ADAM_url_web_NTP.json,http://www.educa.madrid.org/ies.puigadam.getafe,-0.479901,9.84
20250203_28003304_IES ALARNES_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.alarnes.getafe/,-0.838463,9.72
20250203_28003304_IES ALARNES_url_web_NTP.json,http://www.educa.madrid.org/ies.alarnes.getafe,62.633697,0
20250203_28003882_IES JOSE DE CHURRIGUERA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.churriguera.leganes/,-0.956761,9.68
20250203_28003882_IES JOSE DE CHURRIGUERA_url_web_NTP.json,http://www.educa.madrid.org/ies.churriguera.leganes,-0.264021,9.91
20250203_28003894_IES LUIS VIVES_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.luisvives.leganes/,-1.344401,9.55
20250203_28003894_IES LUIS VIVES_url_web_NTP.json,http://www.educa.madrid.org/ies.luisvives.leganes,-0.296894,9.9
20250203_28003900_IES MARIA ZAMBRANO_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.mariazambrano.leganes/,-1.292499,9.57
20250203_28003900_IES MARIA ZAMBRANO_url_web_NTP.json,http://www.educa.madrid.org/ies.mariazambrano.leganes,62.373432,0
20250203_28004059_IES CERVANTES_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.cervantes.madrid/,-1.243573,9.59
20250203_28004059_IES CERVANTES_url_web_NTP.json,http://www.educa.madrid.org/ies.cervantes.madrid,-0.818371,9.73
20250203_28013899_IES EL ESPINILLO _url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.elespinillo.madrid/,-1.181662,9.61
20250203_28013899_IES EL ESPINILLO _url_web_NTP.json,http://www.educa.madrid.org/ies.elespinillo.madrid,-0.61193,9.8
20250203_28015756_IES VALDEBERNARDO_url_aula_NTP.json,http://aulavirtual3.educa.madrid.org/ies.valdebernardo.madrid,-0.837333,9.72
20250203_28015756_IES VALDEBERNARDO_url_web_NTP.json,http://www.educa.madrid.org/ies.valdebernardo.madrid,-0.412478,9.86
20250203_28018344_IES SANTA TERESA DE JESUS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.santateresa.madrid/,-1.08044,9.64
20250203_28018344_IES SANTA TERESA DE JESUS_url_web_NTP.json,http://www.educa.madrid.org/ies.santateresa.madrid,2.560002,9.15
20250203_28018356_IES SANTAMARCA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.santamarca.madrid/,-1.568929,9.48
20250203_28018356_IES SANTAMARCA_url_web_NTP.json,http://www.educa.madrid.org/ies.santamarca.madrid,-0.514876,9.83
20250203_28018368_IES SANTA ENGRACIA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.santaengracia.madrid/,-1.023014,9.66
20250203_28018368_IES SANTA ENGRACIA_url_web_NTP.json,http://www.educa.madrid.org/ies.santaengracia.madrid,-0.965055,9.68
20250203_28018381_IES ORTEGA Y GASSET_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.ortegaygasset.madrid/,-1.465093,9.51
20250203_28018381_IES ORTEGA Y GASSET_url_web_NTP.json,http://www.educa.madrid.org/ies.ortegaygasset.madrid,-0.342508,9.89
20250203_28018423_IES INSTITUTO POLITECNICO N.1 DEL EJERCITO_url_web_NTP.json,http://www.educa.madrid.org/ies.numerounoejercito.madrid,-0.836619,9.72
20250203_28018435_IES EMILIO CASTELAR_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.emiliocastelar.madrid/,-1.309995,9.56
20250203_28018435_IES EMILIO CASTELAR_url_web_NTP.json,http://www.educa.madrid.org/ies.emiliocastelar.madrid,-0.894578,9.7
20250203_28018460_IES ARCIPRESTE DE HITA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.arciprestedehita.madrid/,-1.007352,9.66
20250203_28018460_IES ARCIPRESTE DE HITA_url_web_NTP.json,http://www.educa.madrid.org/ies.arciprestedehita.madrid,0.28271,9.91
20250203_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.sancristobal.madrid/,-1.123434,9.63
20250203_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_web_NTP.json,http://www.educa.madrid.org/ies.sancristobal.madrid,-0.46343,9.85
20250203_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.rodriguezdevalcarcel.madrid/,-0.833728,9.72
20250203_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_web_NTP.json,http://www.educa.madrid.org/ies.rodriguezdevalcarcel.madrid,-1.430913,9.52
20250203_28018903_IES JOAQUÍN TURINA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.joaquinturina.madrid/,-1.130412,9.62
20250203_28018903_IES JOAQUÍN TURINA_url_web_NTP.json,http://www.educa.madrid.org/ies.joaquinturina.madrid,-0.409192,9.86
20250203_28019312_IES EL LAGO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.ellago.madrid/,-0.809511,9.73
20250203_28019312_IES EL LAGO_url_web_NTP.json,http://www.educa.madrid.org/ies.ellago.madrid,64.535746,0
20250203_28019351_IES SAN FERNANDO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.sanfernando.madrid/,-1.49831,9.5
20250203_28019351_IES SAN FERNANDO_url_web_NTP.json,https://www.iessanfernando.com,-0.164115,9.95
20250203_28019464_IES TIRSO DE MOLINA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.tirsodemolina.madrid/,-1.465072,9.51
20250203_28019464_IES TIRSO DE MOLINA_url_web_NTP.json,http://www.educa.madrid.org/ies.tirsodemolina.madrid,-0.931615,9.69
